Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
El Salvador,SLV,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,22.32472418
El Salvador,SLV,Population growth (annual %),SP.POP.GROW,0.061720733
Equatorial Guinea,GNQ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.139988835
Equatorial Guinea,GNQ,"Air transport, passengers carried",IS.AIR.PSGR,425475
Equatorial Guinea,GNQ,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.288954
Equatorial Guinea,GNQ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,45.28465901
Equatorial Guinea,GNQ,Population growth (annual %),SP.POP.GROW,3.335036794
Eritrea,ERI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.199267295
Eritrea,ERI,"Air transport, passengers carried",IS.AIR.PSGR,101357.3759
Eritrea,ERI,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0
Eritrea,ERI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,44.07053957
Eritrea,ERI,Population growth (annual %),SP.POP.GROW,1.539273546
Estonia,EST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.582120103
Estonia,EST,"Air transport, passengers carried",IS.AIR.PSGR,857
Estonia,EST,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0
Estonia,EST,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,5.893562381
Estonia,EST,Population growth (annual %),SP.POP.GROW,0.371554389
Eswatini,SWZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.999903387
Eswatini,SWZ,"Air transport, passengers carried",IS.AIR.PSGR,52744
Eswatini,SWZ,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.043615
Eswatini,SWZ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,23.34521196
Eswatini,SWZ,Population growth (annual %),SP.POP.GROW,0.788402228
Ethiopia,ETH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.155169189
Ethiopia,ETH,"Air transport, passengers carried",IS.AIR.PSGR,12631216
Ethiopia,ETH,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,2450.27296
Ethiopia,ETH,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,33.7807199
Ethiopia,ETH,Population growth (annual %),SP.POP.GROW,2.656010133
Faroe Islands,FRO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Faroe Islands,FRO,"Air transport, passengers carried",IS.AIR.PSGR,..
Faroe Islands,FRO,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Faroe Islands,FRO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
Faroe Islands,FRO,Population growth (annual %),SP.POP.GROW,1.414731885
Fiji,FJI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.517205337
Fiji,FJI,"Air transport, passengers carried",IS.AIR.PSGR,1700293
Fiji,FJI,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,108.9135
Fiji,FJI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,10.9932094
Fiji,FJI,Population growth (annual %),SP.POP.GROW,-0.057797147
Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.423039601
Finland,FIN,"Air transport, passengers carried",IS.AIR.PSGR,14610547
Finland,FIN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1067.31511
Finland,FIN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,5.565330197
Finland,FIN,Population growth (annual %),SP.POP.GROW,0.11019169
France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.460164948
France,FRA,"Air transport, passengers carried",IS.AIR.PSGR,71289277
France,FRA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,4522.586
France,FRA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,11.40575038
France,FRA,Population growth (annual %),SP.POP.GROW,0.341374143
French Polynesia,PYF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
French Polynesia,PYF,"Air transport, passengers carried",IS.AIR.PSGR,..
French Polynesia,PYF,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
French Polynesia,PYF,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
French Polynesia,PYF,Population growth (annual %),SP.POP.GROW,0.706823206
Gabon,GAB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.351763544
Gabon,GAB,"Air transport, passengers carried",IS.AIR.PSGR,..
Gabon,GAB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Gabon,GAB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,36.74675483
Gabon,GAB,Population growth (annual %),SP.POP.GROW,2.289855365
"Gambia, The",GMB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.241900479
"Gambia, The",GMB,"Air transport, passengers carried",IS.AIR.PSGR,109542.1451
"Gambia, The",GMB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0
"Gambia, The",GMB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,58.08072376
"Gambia, The",GMB,Population growth (annual %),SP.POP.GROW,2.582686766
Georgia,GEO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.835791247
Georgia,GEO,"Air transport, passengers carried",IS.AIR.PSGR,509913
Georgia,GEO,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.640604
Georgia,GEO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.85586499
Georgia,GEO,Population growth (annual %),SP.POP.GROW,-0.17156574
Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.927187624
Germany,DEU,"Air transport, passengers carried",IS.AIR.PSGR,109633750.7
Germany,DEU,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,7763.619214
Germany,DEU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,11.80580716
Germany,DEU,Population growth (annual %),SP.POP.GROW,0.225519874
Ghana,GHA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.572264896
Ghana,GHA,"Air transport, passengers carried",IS.AIR.PSGR,597343
Ghana,GHA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0
Ghana,GHA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,53.98926008
Ghana,GHA,Population growth (annual %),SP.POP.GROW,2.088931184
Gibraltar,GIB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Gibraltar,GIB,"Air transport, passengers carried",IS.AIR.PSGR,..
Gibraltar,GIB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Gibraltar,GIB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
Gibraltar,GIB,Population growth (annual %),SP.POP.GROW,0.113265896
Greece,GRC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.595284353
Greece,GRC,"Air transport, passengers carried",IS.AIR.PSGR,16124738.33
Greece,GRC,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,23.90576
Greece,GRC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,14.2538714
Greece,GRC,Population growth (annual %),SP.POP.GROW,-0.105339393
Greenland,GRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Greenland,GRL,"Air transport, passengers carried",IS.AIR.PSGR,..
Greenland,GRL,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Greenland,GRL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,6.462977097
Greenland,GRL,Population growth (annual %),SP.POP.GROW,0.359917714
Grenada,GRD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.820964115
Grenada,GRD,"Air transport, passengers carried",IS.AIR.PSGR,..
Grenada,GRD,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Grenada,GRD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21.48591655
Grenada,GRD,Population growth (annual %),SP.POP.GROW,0.724563813
Guam,GUM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Guam,GUM,"Air transport, passengers carried",IS.AIR.PSGR,..
Guam,GUM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Guam,GUM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,8.221834725
Guam,GUM,Population growth (annual %),SP.POP.GROW,-0.032018785
Guatemala,GTM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.145372815
Guatemala,GTM,"Air transport, passengers carried",IS.AIR.PSGR,107350
Guatemala,GTM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.0273
Guatemala,GTM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,27.64788197
Guatemala,GTM,Population growth (annual %),SP.POP.GROW,1.560386048
Guinea,GIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.350765779
Guinea,GIN,"Air transport, passengers carried",IS.AIR.PSGR,..
Guinea,GIN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Guinea,GIN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,52.51253174
Guinea,GIN,Population growth (annual %),SP.POP.GROW,2.537647078
Guinea-Bissau,GNB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.165088606
Guinea-Bissau,GNB,"Air transport, passengers carried",IS.AIR.PSGR,..
Guinea-Bissau,GNB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Guinea-Bissau,GNB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,54.06829369
Guinea-Bissau,GNB,Population growth (annual %),SP.POP.GROW,2.33629047
Guyana,GUY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.500331141
Guyana,GUY,"Air transport, passengers carried",IS.AIR.PSGR,28697
Guyana,GUY,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.047589212
Guyana,GUY,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,20.10090382
Guyana,GUY,Population growth (annual %),SP.POP.GROW,1.671348097
Haiti,HTI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.297241022
Haiti,HTI,"Air transport, passengers carried",IS.AIR.PSGR,..
Haiti,HTI,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0
Haiti,HTI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.03230796
Haiti,HTI,Population growth (annual %),SP.POP.GROW,1.335138592
Honduras,HND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.023855315
Honduras,HND,"Air transport, passengers carried",IS.AIR.PSGR,321243
Honduras,HND,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1.149492
Honduras,HND,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,22.87512366
Honduras,HND,Population growth (annual %),SP.POP.GROW,1.680696685
"Hong Kong SAR, China",HKG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
"Hong Kong SAR, China",HKG,"Air transport, passengers carried",IS.AIR.PSGR,46469864
"Hong Kong SAR, China",HKG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,11739.48957
"Hong Kong SAR, China",HKG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
"Hong Kong SAR, China",HKG,Population growth (annual %),SP.POP.GROW,0.739283471
Hungary,HUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.836876267
Hungary,HUN,"Air transport, passengers carried",IS.AIR.PSGR,39803373
Hungary,HUN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0
Hungary,HUN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,16.49434933
Hungary,HUN,Population growth (annual %),SP.POP.GROW,-0.04525571
Iceland,ISL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.543450104
Iceland,ISL,"Air transport, passengers carried",IS.AIR.PSGR,4656017
Iceland,ISL,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,138.653502
Iceland,ISL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,5.698616135
Iceland,ISL,Population growth (annual %),SP.POP.GROW,2.198932258
India,IND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.752534366
India,IND,"Air transport, passengers carried",IS.AIR.PSGR,167499116
India,IND,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1938.232596
India,IND,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,83.19931634
India,IND,Population growth (annual %),SP.POP.GROW,1.025310772
Indonesia,IDN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.245285771
Indonesia,IDN,"Air transport, passengers carried",IS.AIR.PSGR,91323153
Indonesia,IDN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,981.74186
Indonesia,IDN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.37146134
Indonesia,IDN,Population growth (annual %),SP.POP.GROW,0.937689274
"Iran, Islamic Rep.",IRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.222980003
"Iran, Islamic Rep.",IRN,"Air transport, passengers carried",IS.AIR.PSGR,21641449.39
"Iran, Islamic Rep.",IRN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,152.2586607
"Iran, Islamic Rep.",IRN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,38.01508315
"Iran, Islamic Rep.",IRN,Population growth (annual %),SP.POP.GROW,1.099593263
Iraq,IRQ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.347264139
Iraq,IRQ,"Air transport, passengers carried",IS.AIR.PSGR,5434292
Iraq,IRQ,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0
Iraq,IRQ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,48.46825216
Iraq,IRQ,Population growth (annual %),SP.POP.GROW,2.368388314
Ireland,IRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.257748757
Ireland,IRL,"Air transport, passengers carried",IS.AIR.PSGR,170161848
Ireland,IRL,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,174.5404
Ireland,IRL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,7.854094218
Ireland,IRL,Population growth (annual %),SP.POP.GROW,1.367626954
Isle of Man,IMN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Isle of Man,IMN,"Air transport, passengers carried",IS.AIR.PSGR,..
Isle of Man,IMN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Isle of Man,IMN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
Isle of Man,IMN,Population growth (annual %),SP.POP.GROW,0.18842279
Israel,ISR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.935752154
Israel,ISR,"Air transport, passengers carried",IS.AIR.PSGR,7068458
Israel,ISR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,889.334
Israel,ISR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.75989688
Israel,ISR,Population growth (annual %),SP.POP.GROW,1.90898264
Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.311030987
Italy,ITA,"Air transport, passengers carried",IS.AIR.PSGR,27760301
Italy,ITA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1344.955151
Italy,ITA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,16.08828133
Italy,ITA,Population growth (annual %),SP.POP.GROW,-1.153028424
Jamaica,JAM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.983289697
Jamaica,JAM,"Air transport, passengers carried",IS.AIR.PSGR,..
Jamaica,JAM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0
Jamaica,JAM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,15.28940246
Jamaica,JAM,Population growth (annual %),SP.POP.GROW,0.068899222
Japan,JPN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.478400575
Japan,JPN,"Air transport, passengers carried",IS.AIR.PSGR,130233352
Japan,JPN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,8919.48
Japan,JPN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,13.46980666
Japan,JPN,Population growth (annual %),SP.POP.GROW,-0.140464978
Jordan,JOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.163621448
Jordan,JOR,"Air transport, passengers carried",IS.AIR.PSGR,3478444
Jordan,JOR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,153.56892
Jordan,JOR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,30.64558855
Jordan,JOR,Population growth (annual %),SP.POP.GROW,2.257509754
Kazakhstan,KAZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,11.05087035
Kazakhstan,KAZ,"Air transport, passengers carried",IS.AIR.PSGR,7656866
Kazakhstan,KAZ,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,49.84901
Kazakhstan,KAZ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,20.29485447
Kazakhstan,KAZ,Population growth (annual %),SP.POP.GROW,1.28960849
Kenya,KEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.382362033
Kenya,KEN,"Air transport, passengers carried",IS.AIR.PSGR,6417534.056
Kenya,KEN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,320.9525546
Kenya,KEN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21.61458718
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1.978456948
Kiribati,KIR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.592397035
Kiribati,KIR,"Air transport, passengers carried",IS.AIR.PSGR,65846.852
Kiribati,KIR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0
Kiribati,KIR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,9.468882294
Kiribati,KIR,Population growth (annual %),SP.POP.GROW,1.606512389
"Korea, Dem. People's Rep.",PRK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.156763691
"Korea, Dem. People's Rep.",PRK,"Air transport, passengers carried",IS.AIR.PSGR,109095
"Korea, Dem. People's Rep.",PRK,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.487101
"Korea, Dem. People's Rep.",PRK,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,44.32957478
"Korea, Dem. People's Rep.",PRK,Population growth (annual %),SP.POP.GROW,0.45644682
"Korea, Rep.",KOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,11.82528359
"Korea, Rep.",KOR,"Air transport, passengers carried",IS.AIR.PSGR,92434079
"Korea, Rep.",KOR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,10664.37823
"Korea, Rep.",KOR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,27.44033926
"Korea, Rep.",KOR,Population growth (annual %),SP.POP.GROW,0.347874969
Kosovo,XKX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Kosovo,XKX,"Air transport, passengers carried",IS.AIR.PSGR,..
Kosovo,XKX,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Kosovo,XKX,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
Kosovo,XKX,Population growth (annual %),SP.POP.GROW,-0.457730006
Kuwait,KWT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,21.13521425
Kuwait,KWT,"Air transport, passengers carried",IS.AIR.PSGR,7385299
Kuwait,KWT,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,364.649349
Kuwait,KWT,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,60.96648013
Kuwait,KWT,Population growth (annual %),SP.POP.GROW,2.829852402
Kyrgyz Republic,KGZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.551593817
Kyrgyz Republic,KGZ,"Air transport, passengers carried",IS.AIR.PSGR,867935
Kyrgyz Republic,KGZ,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.495853
Kyrgyz Republic,KGZ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.07288994
Kyrgyz Republic,KGZ,Population growth (annual %),SP.POP.GROW,2.08787614
Lao PDR,LAO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.658175141
Lao PDR,LAO,"Air transport, passengers carried",IS.AIR.PSGR,979307
Lao PDR,LAO,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.910194
Lao PDR,LAO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,20.54733513
Lao PDR,LAO,Population growth (annual %),SP.POP.GROW,1.495404815
Latvia,LVA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.954965509
Latvia,LVA,"Air transport, passengers carried",IS.AIR.PSGR,4976410
Latvia,LVA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,5.1637624
Latvia,LVA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,12.01165835
Latvia,LVA,Population growth (annual %),SP.POP.GROW,-0.69523914
Lebanon,LBN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.655297984
Lebanon,LBN,"Air transport, passengers carried",IS.AIR.PSGR,3164358
Lebanon,LBN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,51.70094
Lebanon,LBN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.96029994
Lebanon,LBN,Population growth (annual %),SP.POP.GROW,-2.879865896
Lesotho,LSO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.033426757
Lesotho,LSO,"Air transport, passengers carried",IS.AIR.PSGR,..
Lesotho,LSO,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Lesotho,LSO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,27.52281327
Lesotho,LSO,Population growth (annual %),SP.POP.GROW,1.251678122
Liberia,LBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.22991646
Liberia,LBR,"Air transport, passengers carried",IS.AIR.PSGR,..
Liberia,LBR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Liberia,LBR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,50.59973692
Liberia,LBR,Population growth (annual %),SP.POP.GROW,1.94236198
Libya,LBY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.325767595
Libya,LBY,"Air transport, passengers carried",IS.AIR.PSGR,1367458
Libya,LBY,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.758181
Libya,LBY,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,38.59119845
Libya,LBY,Population growth (annual %),SP.POP.GROW,1.399514414
Liechtenstein,LIE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.872608388
Liechtenstein,LIE,"Air transport, passengers carried",IS.AIR.PSGR,..
Liechtenstein,LIE,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Liechtenstein,LIE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
Liechtenstein,LIE,Population growth (annual %),SP.POP.GROW,0.785258982
Lithuania,LTU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.200151961
Lithuania,LTU,"Air transport, passengers carried",IS.AIR.PSGR,40944
Lithuania,LTU,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0
Lithuania,LTU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,10.37350411
Lithuania,LTU,Population growth (annual %),SP.POP.GROW,-0.264704355
Luxembourg,LUX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.3230398
Luxembourg,LUX,"Air transport, passengers carried",IS.AIR.PSGR,2114417
Luxembourg,LUX,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,7188.04334
Luxembourg,LUX,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,10.06890585
Luxembourg,LUX,Population growth (annual %),SP.POP.GROW,1.96284492
"Macao SAR, China",MAC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
"Macao SAR, China",MAC,"Air transport, passengers carried",IS.AIR.PSGR,3659911
"Macao SAR, China",MAC,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,26.02953
"Macao SAR, China",MAC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
"Macao SAR, China",MAC,Population growth (annual %),SP.POP.GROW,1.926360529
Madagascar,MDG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.142653575
Madagascar,MDG,"Air transport, passengers carried",IS.AIR.PSGR,544458
Madagascar,MDG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,16.18255
Madagascar,MDG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.8593854
Madagascar,MDG,Population growth (annual %),SP.POP.GROW,2.525316628
Malawi,MWI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.087118813
Malawi,MWI,"Air transport, passengers carried",IS.AIR.PSGR,7117
